,Neighborhood,Borough,Cluster Labels,Latitude,Longitude
177,Yalıköy,Beykoz,0,41.1411273,29.08283
178,Yavuz Selim,Beykoz,0,41.1997263,29.1187922
179,Yenimahalle,Beykoz,0,41.06711325,29.088013351537747
180,Adnan Kahveci,Beylikdüzü,0,40.9990506,28.6284628
181,Barış,Beylikdüzü,0,41.0009762,28.6532182
182,Büyükşehir,Beylikdüzü,0,41.0055638,28.6466676
183,Cumhuriyet,Beylikdüzü,0,41.0103391,28.638707
184,Dereağzı,Beylikdüzü,0,40.9745238,28.6179069
185,Gürpınar,Beylikdüzü,0,40.990407649999995,28.618005220280594
186,Kavaklı,Beylikdüzü,0,40.9892544,28.6590189
187,Marmara,Beylikdüzü,0,41.0010262,28.6419843
188,Sahil,Beylikdüzü,0,40.9685626,28.6456456
189,Yakuplu,Beylikdüzü,0,41.0091794,28.6570175
190,Arapcami,Beyoğlu,0,41.0243422,28.971057
191,Asmalımescit,Beyoğlu,0,41.0309487,28.9749174
192,Bedrettin,Beyoğlu,0,41.0289452,28.9688617
193,Bereketzade,Beyoğlu,0,41.0253357,28.9733181
194,Bostan,Beyoğlu,0,41.0387892,28.9762524
195,Bülbül,Beyoğlu,0,41.0391626,28.9798827
196,Camiikebir,Beyoğlu,0,41.0349693,28.9593139
197,Cihangir,Beyoğlu,0,41.0330402,28.9853187
198,Çatmamescit,Beyoğlu,0,41.0321707,28.9717998
199,Çukur,Beyoğlu,0,41.0371981,28.9780949
200,Emekyemez,Beyoğlu,0,41.0260034,28.9703855
201,Evliya Çelebi,Beyoğlu,0,41.0303999,28.9731508
202,Fetihtepe,Beyoğlu,0,41.0482932,28.9568753
203,Firuzağa,Beyoğlu,0,41.030196,28.9806703
204,Gümüşsuyu,Beyoğlu,0,41.037184,28.9885081
205,Hacıahmet,Beyoğlu,0,41.042188,28.9739405
206,Hacımimi,Beyoğlu,0,41.0268054,28.9782783
207,Halıcıoğlu,Beyoğlu,0,41.0488286,28.9496751
208,Hüseyinağa,Beyoğlu,0,41.0349849,28.9784671
209,İstiklal,Beyoğlu,0,41.0312567,28.9753213
210,Kadı Mehmet Efendi,Beyoğlu,0,41.0344208,28.9639158
211,Kamerhatun,Beyoğlu,0,41.0349111,28.9751771
212,Kalyoncukulluğu,Beyoğlu,0,41.0367286,28.9756668
213,Kaptanpaşa,Beyoğlu,0,41.0422767,28.963838
214,Katip Mustafa Çelebi,Beyoğlu,0,41.0344829,28.9830132
215,Keçecipiri,Beyoğlu,0,41.0406876,28.9555685
216,Kemankeş Kara Mustafa Paşa,Beyoğlu,0,0.0,0.0
217,Kılıçalipaşa,Beyoğlu,0,41.02641505,28.98096227728434
218,Kocatepe,Beyoğlu,0,41.0395972,28.9835719
219,Kulaksız,Beyoğlu,0,41.0376925,28.9607963
220,Kuloğlu,Beyoğlu,0,41.0329638,28.9802501
221,Küçükpiyale,Beyoğlu,0,41.0368442,28.9676137
222,Müeyyetzade,Beyoğlu,0,41.0263377,28.9747764
223,Ömeravni,Beyoğlu,0,41.03492,28.9919227
224,Örnektepe,Beyoğlu,0,41.0576074,28.9514562
225,Piripaşa,Beyoğlu,0,41.0448597,28.9511039
226,Piyalepaşa,Beyoğlu,0,41.0482626,28.9622478
227,Pürtelaş,Beyoğlu,0,41.03067975,28.98770476787066
228,Sururi,Beyoğlu,0,41.036895799999996,28.972436057035544
229,Sütlüce,Beyoğlu,0,41.0510201,28.944692
230,Şahkulu,Beyoğlu,0,41.0276403,28.9745318
231,Şehit Muhtar,Beyoğlu,0,41.0367537,28.9818695
232,Tomtom,Beyoğlu,0,41.0302066,28.9775437
233,Yahya Kahya,Beyoğlu,0,41.0339473,28.9715307
234,Yenişehir,Beyoğlu,0,41.0422931,28.9781545
235,19 Mayıs,Büyükçekmece,0,41.0527645,28.4242185
236,Ahmediye,Büyükçekmece,0,41.0908328,28.5168102
237,Alkent,Büyükçekmece,0,41.09055495,28.621425224449684
238,Atatürk,Büyükçekmece,0,41.01220335,28.604192218697946
239,Bahçelievler,Büyükçekmece,0,41.0171746,28.4834202
240,Batıköy,Büyükçekmece,0,40.9996446,28.5390565
241,Celaliye,Büyükçekmece,0,41.051777,28.418685
242,Cumhuriyet,Büyükçekmece,0,41.0256076,28.62044412806496
243,Çakmaklı,Büyükçekmece,0,41.0544739,28.6228077
244,Dizdariye,Büyükçekmece,0,41.0244044,28.5821256
245,Fatih,Büyükçekmece,0,41.02130755,28.596736386342585
246,Güzelce,Büyükçekmece,0,40.999476,28.5120854
247,Hürriyet,Büyükçekmece,0,41.0316384,28.5469051
248,Kamiloba,Büyükçekmece,0,41.045197,28.430834
249,Karaağaç,Büyükçekmece,0,41.09055495,28.621425224449684
250,Kumburgaz Merkez,Büyükçekmece,0,41.0585503,28.4720738
251,Mimarsinan,Büyükçekmece,0,41.0160925,28.5604373
252,Muratbey,Büyükçekmece,0,0.0,0.0
253,Muratçeşme,Büyükçekmece,0,41.0177236,28.5352784
254,Pınartepe,Büyükçekmece,0,41.0062136,28.6017081
255,Türkoba,Büyükçekmece,0,41.033268,28.5224507
256,Ulus,Büyükçekmece,0,41.0315728,28.5492475
257,Yenimahalle,Büyükçekmece,0,41.0227188,28.4794083
258,Binkılıç,Çatalca,0,41.3374086,28.0998771
259,Çakıl,Çatalca,0,41.1247706,28.4485283
260,Çiftlikköy,Çatalca,0,41.3514452,28.4285247
261,Fatih,Çatalca,0,41.4136692,28.1882968
262,Ferhatpaşa,Çatalca,0,41.1505101,28.480342
263,İzettin,Çatalca,0,41.1767042,28.5039242
264,Kaleiçi,Çatalca,0,41.170282,28.4699905
265,Karacaköy,Çatalca,0,41.4027993,28.3832594
266,Ovayenice,Çatalca,0,41.100868,28.419697
267,Alemdağ,Çekmeköy,0,41.0403918,29.2398227
268,Aydınlar,Çekmeköy,0,41.0182869,29.2277038
269,Cumhuriyet,Çekmeköy,0,41.02386065,29.222868254379996
270,Çamlık,Çekmeköy,0,41.0139681,29.1964478
271,Çatalmeşe,Çekmeköy,0,41.0512986,29.2412017
272,Ekşioğlu,Çekmeköy,0,41.0296519,29.2414164
273,Güngören,Çekmeköy,0,41.026515,29.219938
274,Hamidiye,Çekmeköy,0,41.0213832,29.1884955
275,Kirazlıdere,Çekmeköy,0,41.0194506,29.21679
276,Mehmet Akif,Çekmeköy,0,41.0193597,29.1859343
277,Merkez,Çekmeköy,0,41.0431515,29.1708563
278,Mimar Sinan,Çekmeköy,0,41.0318448,29.181447
279,Nişantepe,Çekmeköy,0,41.0409901,29.265404
280,Ömerli,Çekmeköy,0,41.0814224,29.3241966
281,Soğukpınar,Çekmeköy,0,41.0254515,29.236570666893495
282,Sultançiftliği,Çekmeköy,0,41.0311523,29.2235083
283,Taşdelen,Çekmeköy,0,41.0472849,29.216667677404295
284,Birlik,Esenler,0,41.0494764,28.8688548
285,Çiftehavuzlar,Esenler,0,41.0266695,28.8960455
286,Davutpaşa,Esenler,0,41.0200666,28.8992542
287,Fatih,Esenler,0,41.0419878,28.8656817
288,Fevzi Çakmak,Esenler,0,41.044085,28.8818897
289,Havaalanı,Esenler,0,41.0570514,28.8699999
290,Kâzım Karabekir,Esenler,0,41.0482329,28.8755199
291,Kemer,Esenler,0,41.0522963,28.8810459
292,Menderes,Esenler,0,41.0412375,28.8769037
293,Mimarsinan,Esenler,0,41.0347914,28.8880395
294,Namık Kemal,Esenler,0,41.0303064,28.8958869
295,Nenehatun,Esenler,0,41.0357471,28.8788586
296,Oruçreis,Esenler,0,41.0670271,28.8692149
297,Tuna,Esenler,0,41.0498792,28.8619396
298,Turgutreis,Esenler,0,41.0606554,28.8635629
299,Yavuz Selim,Esenler,0,41.0375744,28.8885873
300,Ardıçlıevler,Esenyurt,0,41.0519354,28.6712915
301,Atatürk,Esenyurt,0,41.035294,28.6295608
302,Cumhuriyet,Esenyurt,0,41.0179385,28.6484005
303,Çakmaklı,Esenyurt,0,0.0,0.0
